iter	Passed	Remaining
0	56	56602
1	57	28560
2	57	19210
3	58	14533
4	58	11713
5	59	9806
6	59	8441
7	59	7414
8	60	6616
9	60	5987
10	60	5468
11	61	5033
12	61	4701
13	62	4408
14	62	4130
15	63	3904
16	63	3696
17	68	3738
18	68	3554
19	69	3389
20	69	3238
21	69	3101
22	70	2975
23	70	2860
24	70	2754
25	70	2656
26	71	2565
27	71	2480
28	71	2402
29	72	2329
30	72	2260
31	72	2196
32	72	2136
33	73	2079
34	73	2025
35	73	1974
36	74	1926
37	74	1881
38	74	1838
39	74	1797
40	75	1758
41	75	1725
42	76	1697
43	84	1828
44	84	1792
45	84	1757
46	85	1723
47	85	1691
48	85	1661
49	85	1631
50	86	1603
51	86	1575
52	86	1549
53	87	1524
54	87	1500
55	87	1476
56	87	1453
57	88	1431
58	88	1410
59	88	1389
60	89	1370
61	89	1350
62	89	1332
63	89	1314
64	90	1296
65	90	1279
66	90	1263
67	90	1247
68	91	1231
69	91	1216
70	91	1202
71	92	1190
72	92	1179
73	93	1165
74	93	1152
75	93	1139
76	94	1127
77	94	1114
78	94	1102
79	97	1126
80	98	1114
81	98	1102
82	98	1089
83	98	1078
84	99	1067
85	99	1056
86	99	1046
87	100	1036
88	100	1026
89	100	1016
90	100	1007
91	101	998
92	101	989
93	101	980
94	101	971
95	102	962
96	102	954
97	102	946
98	103	938
99	103	930
100	103	922
101	103	915
102	104	907
103	104	900
104	104	893
105	105	886
106	105	879
107	105	872
108	105	865
109	106	859
110	106	852
111	106	846
112	107	840
113	107	838
114	115	892
115	116	885
116	116	878
117	116	872
118	117	866
119	117	860
120	117	854
121	117	847
122	118	841
123	118	836
124	118	830
125	118	824
126	119	818
127	119	813
128	119	808
129	119	803
130	120	797
131	120	792
132	120	787
133	121	782
134	121	777
135	121	772
136	121	768
137	122	763
138	122	759
139	122	755
140	130	792
141	130	786
142	130	782
143	130	777
144	131	772
145	131	768
146	131	765
147	132	761
148	132	756
149	132	752
150	133	748
151	133	743
152	133	739
153	133	735
154	135	736
155	135	734
156	136	731
157	136	729
158	137	726
159	137	722
160	138	719
161	138	715
162	138	711
163	138	708
164	149	755
165	149	753
166	150	750
167	151	748
168	151	744
169	151	740
170	151	736
171	152	732
172	152	728
173	152	725
174	153	721
175	153	717
176	153	714
177	154	712
178	154	708
179	154	705
180	155	701
181	155	698
182	155	694
183	155	691
184	156	689
185	157	687
186	157	685
187	158	683
188	158	681
189	159	679
190	159	677
191	160	675
192	161	673
193	161	670
194	161	667
195	161	664
196	162	661
197	162	658
198	162	655
199	163	652
200	163	649
201	163	646
202	163	643
203	164	640
204	164	637
205	164	635
206	165	632
207	165	629
208	166	630
209	167	628
210	167	627
211	168	625
212	168	623
213	168	620
214	169	617
215	169	615
216	169	612
217	170	610
218	170	607
219	170	605
220	170	602
221	171	600
222	171	597
223	171	595
224	172	592
225	172	590
226	172	587
227	172	585
228	173	583
229	173	580
230	173	578
231	174	576
232	174	573
233	174	571
234	174	569
235	175	567
236	175	565
237	175	562
238	176	560
239	176	558
240	176	556
241	176	554
242	177	552
243	177	550
244	177	548
245	178	546
246	178	544
247	178	542
248	179	540
249	179	538
250	179	536
251	179	534
252	180	532
253	180	530
254	180	528
255	181	526
256	181	524
257	181	522
258	182	520
259	182	518
260	182	516
261	182	515
262	183	513
263	183	511
264	183	509
265	184	507
266	184	506
267	184	504
268	184	502
269	185	500
270	185	498
271	185	496
272	185	495
273	186	493
274	186	491
275	186	489
276	187	488
277	187	486
278	187	484
279	187	483
280	188	481
281	188	479
282	188	478
283	188	476
284	189	474
285	189	473
286	189	471
287	190	469
288	190	468
289	190	466
290	190	465
291	191	463
292	191	461
293	191	460
294	192	458
295	192	457
296	192	455
297	192	454
298	193	452
299	193	451
300	193	449
301	193	448
302	194	446
303	194	445
304	194	443
305	195	442
306	195	441
307	195	439
308	195	438
309	196	436
310	196	435
311	196	433
312	196	432
313	197	430
314	197	429
315	197	428
316	198	426
317	198	425
318	198	423
319	198	422
320	199	421
321	199	419
322	199	418
323	199	417
324	200	415
325	200	414
326	200	413
327	200	411
328	201	410
329	201	409
330	201	407
331	202	406
332	202	405
333	202	403
334	202	402
335	203	401
336	203	400
337	203	398
338	203	397
339	204	396
340	204	395
341	204	393
342	204	392
343	205	391
344	205	390
345	205	388
346	206	387
347	206	386
348	206	385
349	206	384
350	207	382
351	207	381
352	207	380
353	207	379
354	208	378
355	208	376
356	208	375
357	208	374
358	209	373
359	209	372
360	209	371
361	209	370
362	210	368
363	210	367
364	210	366
365	211	365
366	211	364
367	211	363
368	211	362
369	212	361
370	212	360
371	212	358
372	212	357
373	213	356
374	213	355
375	213	354
376	214	353
377	214	352
378	214	351
379	214	350
380	215	349
381	215	348
382	215	347
383	215	346
384	216	345
385	216	344
386	216	343
387	217	342
388	217	341
389	217	340
390	217	339
391	218	338
392	218	337
393	218	336
394	218	335
395	219	334
396	219	333
397	219	332
398	219	331
399	220	330
400	220	329
401	220	328
402	221	327
403	221	326
404	221	325
405	221	324
406	222	323
407	222	322
408	222	321
409	223	320
410	223	319
411	223	318
412	223	318
413	224	317
414	224	316
415	224	315
416	224	314
417	225	313
418	225	312
419	225	311
420	225	310
421	226	309
422	226	308
423	226	307
424	226	306
425	227	306
426	227	305
427	227	304
428	227	303
429	228	302
430	228	301
431	228	300
432	228	299
433	229	298
434	229	298
435	229	297
436	230	296
437	230	295
438	230	294
439	230	293
440	231	292
441	231	292
442	231	291
443	231	290
444	232	289
445	232	288
446	232	287
447	232	287
448	233	286
449	233	285
450	233	284
451	234	283
452	234	283
453	234	282
454	234	281
455	235	280
456	235	279
457	235	278
458	236	278
459	236	277
460	236	276
461	236	275
462	237	274
463	237	274
464	237	273
465	237	272
466	238	271
467	238	271
468	238	270
469	238	269
470	239	268
471	239	267
472	239	267
473	239	266
474	240	265
475	240	264
476	240	263
477	240	263
478	241	262
479	241	261
480	241	260
481	241	260
482	242	259
483	242	258
484	242	257
485	243	257
486	243	256
487	243	255
488	243	254
489	244	254
490	244	253
491	244	252
492	244	251
493	245	251
494	245	250
495	245	249
496	245	248
497	246	248
498	246	247
499	246	246
500	247	246
501	247	245
502	247	244
503	247	243
504	248	243
505	248	242
506	248	241
507	248	240
508	249	240
509	249	239
510	249	238
511	249	238
512	250	237
513	250	236
514	250	236
515	250	235
516	251	234
517	251	233
518	251	233
519	251	232
520	252	231
521	252	231
522	252	230
523	252	229
524	253	229
525	253	228
526	253	227
527	254	227
528	254	226
529	254	225
530	254	225
531	255	224
532	255	223
533	255	223
534	255	222
535	256	221
536	256	221
537	256	220
538	256	219
539	257	219
540	257	218
541	257	217
542	257	217
543	258	216
544	258	215
545	258	215
546	258	214
547	259	213
548	259	213
549	259	212
550	260	211
551	260	211
552	260	210
553	260	210
554	261	209
555	261	208
556	261	208
557	261	207
558	262	206
559	262	206
560	262	205
561	263	205
562	263	204
563	263	203
564	263	203
565	264	202
566	264	201
567	264	201
568	264	200
569	265	200
570	265	199
571	265	198
572	266	198
573	266	197
574	266	197
575	266	196
576	267	195
577	267	195
578	267	194
579	267	193
580	268	193
581	268	192
582	268	192
583	268	191
584	269	190
585	269	190
586	269	189
587	269	189
588	270	188
589	270	187
590	270	187
591	271	186
592	271	186
593	271	185
594	271	185
595	272	184
596	272	183
597	272	183
598	272	182
599	273	182
600	273	181
601	273	180
602	273	180
603	274	179
604	274	179
605	274	178
606	274	178
607	275	177
608	275	176
609	275	176
610	275	175
611	276	175
612	276	174
613	276	173
614	276	173
615	277	172
616	277	172
617	277	171
618	278	171
619	278	170
620	278	170
621	278	169
622	279	168
623	279	168
624	279	167
625	279	167
626	280	166
627	280	166
628	280	165
629	280	164
630	281	164
631	281	163
632	281	163
633	281	162
634	282	162
635	282	161
636	282	161
637	282	160
638	283	160
639	283	159
640	283	158
641	284	158
642	284	157
643	284	157
644	284	156
645	285	156
646	285	155
647	285	155
648	285	154
649	286	154
650	286	153
651	286	153
652	286	152
653	287	151
654	287	151
655	287	150
656	287	150
657	288	149
658	288	149
659	288	148
660	289	148
661	289	147
662	289	147
663	289	146
664	290	146
665	290	145
666	290	145
667	290	144
668	291	143
669	291	143
670	291	142
671	291	142
672	292	141
673	292	141
674	292	140
675	293	140
676	293	139
677	293	139
678	294	139
679	294	138
680	294	138
681	294	137
682	295	137
683	295	136
684	295	135
685	295	135
686	296	134
687	296	134
688	296	133
689	297	133
690	297	132
691	297	132
