iter	Passed	Remaining
0	0	410
1	0	376
2	1	359
3	1	344
4	1	347
5	2	335
6	2	332
7	2	334
8	2	328
9	3	325
10	3	321
11	3	316
12	4	312
13	4	313
14	4	313
15	5	312
16	5	313
17	5	310
18	5	308
19	6	308
20	6	310
21	7	316
22	7	315
23	7	315
24	8	314
25	8	313
26	8	312
27	8	311
28	9	308
29	9	306
30	9	304
31	10	303
32	10	302
33	10	301
34	10	300
35	11	298
36	11	297
37	11	296
38	11	295
39	12	294
40	12	293
41	12	293
42	13	292
43	13	292
44	13	291
45	14	291
46	14	290
47	14	289
48	14	289
49	15	289
50	15	289
51	15	288
52	16	287
53	16	287
54	16	287
55	17	288
56	17	288
57	17	287
58	17	286
59	18	287
60	18	286
61	18	286
62	19	285
63	19	284
64	19	284
65	20	284
66	20	284
67	20	283
68	21	293
69	22	292
70	22	292
71	22	291
72	22	291
73	23	291
74	23	291
75	23	290
76	24	290
77	24	289
78	24	289
79	25	289
80	25	288
81	25	287
82	25	285
83	26	284
84	26	283
85	26	283
86	26	282
87	27	282
88	27	281
89	27	280
90	28	280
91	28	279
92	28	279
93	28	278
94	29	277
95	29	277
96	29	276
97	29	276
98	30	275
99	30	275
100	30	275
101	31	276
102	31	277
103	32	277
104	32	277
105	32	277
106	33	279
107	33	278
108	34	278
109	34	277
110	34	276
111	34	276
112	35	275
113	35	274
114	35	274
115	35	273
116	36	272
117	36	271
118	36	271
119	36	271
120	37	270
121	37	269
122	37	269
123	38	268
124	38	268
125	38	267
126	38	266
127	39	266
128	39	265
129	39	264
130	39	264
131	40	263
132	40	263
133	40	262
134	40	261
135	41	261
136	41	260
137	41	260
138	41	259
139	42	259
140	42	258
141	42	257
142	42	256
143	43	256
144	43	256
145	43	255
146	43	255
147	44	254
148	44	254
149	44	253
150	45	253
151	45	252
152	45	252
153	45	251
154	46	251
155	46	250
156	46	250
157	46	249
158	47	249
159	47	248
160	47	247
161	47	247
162	48	246
163	48	246
164	48	245
165	48	245
166	49	245
167	49	244
168	49	244
169	49	244
170	50	243
171	50	243
172	50	242
173	51	242
174	51	241
175	51	241
176	51	240
177	52	240
178	52	240
179	52	240
180	53	240
181	53	239
182	53	239
183	53	238
184	54	238
185	54	238
186	54	237
187	54	237
188	55	236
189	55	236
190	55	236
191	56	235
192	56	235
193	56	235
194	56	234
195	57	234
196	57	234
197	57	233
198	57	233
199	58	232
200	58	232
201	58	231
202	59	231
203	59	231
204	59	230
205	59	230
206	60	230
207	60	229
208	60	229
209	60	228
210	61	228
211	61	228
212	61	227
213	61	227
214	62	227
215	62	226
216	62	226
217	62	225
218	63	225
219	63	225
220	63	225
221	64	225
222	64	225
223	64	225
224	65	225
225	65	225
226	66	225
227	66	225
228	66	224
229	67	224
230	67	225
231	68	225
232	68	225
233	68	225
234	69	224
235	69	224
236	69	224
237	69	223
238	70	223
239	70	222
240	70	222
241	70	222
242	71	221
243	71	221
244	71	220
245	71	220
246	72	220
247	72	219
248	72	219
249	73	219
250	73	218
251	73	218
252	73	218
253	74	217
254	74	217
255	74	217
256	74	216
257	75	216
258	75	216
259	75	215
260	76	215
261	76	215
262	76	214
263	77	214
264	77	214
265	77	214
266	77	213
267	78	213
268	78	212
269	78	212
270	78	212
271	79	211
272	79	211
273	79	211
274	79	210
275	80	210
276	80	209
277	80	209
278	80	209
279	81	208
280	81	208
281	81	208
282	82	207
283	82	207
284	82	207
285	82	206
286	83	206
287	83	206
288	83	205
289	84	205
290	84	205
291	84	205
292	84	204
293	85	204
294	85	204
295	85	203
296	85	203
297	86	203
298	86	202
299	86	202
300	87	202
301	87	201
302	87	201
303	87	201
304	88	200
305	88	200
306	88	200
307	88	199
308	89	199
309	89	199
310	89	198
311	89	198
312	90	198
313	90	197
314	90	197
315	91	197
316	91	196
317	91	196
318	91	196
319	92	195
320	92	195
321	92	195
322	93	194
323	93	194
324	93	194
325	93	193
326	94	193
327	94	193
328	94	193
329	95	193
330	95	193
331	95	192
332	96	192
333	96	192
334	96	191
335	96	191
336	97	191
337	97	190
338	97	190
339	97	190
340	98	189
341	98	189
342	98	189
343	99	188
344	99	188
345	99	188
346	99	187
347	100	187
348	100	187
349	100	186
350	100	186
351	101	186
352	101	185
353	101	185
354	101	185
355	102	184
356	102	184
357	102	184
358	102	183
359	103	183
360	103	183
361	103	182
362	104	182
363	104	182
364	104	181
365	104	181
366	105	181
367	105	180
368	105	180
369	105	180
370	106	180
371	106	179
372	106	179
373	107	179
374	107	178
375	107	178
376	108	178
377	108	178
378	108	177
379	108	177
380	109	177
381	109	177
382	109	176
383	110	176
384	110	176
385	110	175
386	110	175
387	111	175
388	111	174
389	111	174
390	111	174
391	112	173
392	112	173
393	112	173
394	112	172
395	113	172
396	113	172
397	113	172
398	114	171
399	114	171
400	114	171
401	114	170
402	115	170
403	115	170
404	115	169
405	116	169
406	116	169
407	116	169
408	116	168
409	117	168
410	117	168
411	117	167
412	117	167
413	118	167
414	118	166
415	118	166
416	118	166
417	119	165
418	119	165
419	119	165
420	119	164
421	120	164
422	120	164
423	120	163
424	120	163
425	121	163
426	121	163
427	121	162
428	122	162
429	122	162
430	122	161
431	122	161
432	123	161
433	123	160
434	123	160
435	123	160
436	124	160
437	124	159
438	124	159
439	125	159
440	125	158
441	125	158
442	125	158
443	126	157
444	126	157
445	126	157
446	126	157
447	127	156
448	127	156
449	127	156
450	127	155
451	128	155
452	128	155
453	128	154
454	129	154
455	129	154
456	129	153
457	129	153
458	130	153
459	130	153
460	130	152
461	131	152
462	131	152
463	131	152
464	131	151
465	132	151
466	132	151
467	132	150
468	133	150
469	133	150
470	133	150
471	133	149
472	134	149
473	134	149
474	134	148
475	134	148
476	135	148
477	135	147
478	135	147
479	136	147
480	136	147
481	136	146
482	136	146
483	137	146
484	137	145
485	137	145
486	138	145
487	138	145
488	138	144
489	138	144
490	139	144
491	139	143
492	139	143
493	139	143
494	140	143
495	140	142
496	140	142
497	140	142
498	141	141
499	141	141
500	141	141
501	142	140
502	142	140
503	142	140
504	142	139
505	143	139
506	143	139
507	143	139
508	143	138
509	144	138
510	144	138
511	144	137
512	144	137
513	145	137
514	145	136
515	145	136
516	145	136
517	146	136
518	146	135
519	146	135
520	147	135
521	147	134
522	147	134
523	147	134
524	148	134
525	148	133
526	148	133
527	149	133
528	149	132
529	149	132
530	149	132
531	150	132
532	150	131
533	150	131
534	151	131
535	151	130
536	151	130
537	151	130
538	152	130
539	152	129
540	152	129
541	152	129
542	153	128
543	153	128
544	153	128
545	153	127
546	154	127
547	154	127
548	154	126
549	154	126
550	155	126
551	155	126
552	155	125
553	156	125
554	156	125
555	156	124
556	156	124
557	157	124
558	157	124
559	157	123
560	157	123
561	158	123
562	158	122
563	158	122
564	159	122
565	159	122
566	159	121
567	159	121
568	160	121
569	160	121
570	160	120
571	161	120
572	161	120
573	161	119
574	161	119
575	162	119
576	162	119
